   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-009-19744-00-00  ,  Cowen; H 1  ,  Greenway Energy LLC  ,1999,0.00,3730.00,0.00,12, GD , 
   31-009-19284-00-00  ,  Cowen; W 1-A  ,  Greenway Energy LLC  ,1999,0.00,1259.00,0.00,12, GD , 
   31-009-19282-00-00  ,  Cowen; W 1-B  ,  Greenway Energy LLC  ,1999,0.00,2437.00,0.00,12, GD , 
   31-013-12127-00-00  ,  Cowles 3  ,  PPP Future Development Inc.  ,1999,0.00,2251.00,115.00,12, GD , 
   31-013-12435-00-00  ,  Cowles 4  ,  PPP Future Development Inc.  ,1999,0.00,1249.00,225.00,12, GD , 
   31-067-15584-00-00  ,  Cox R 1  ,  Plainville Turkey Farm Inc.  ,1999,0.00,0.00,0.00,1, GD , 
   31-009-18483-00-00  ,  Crandall 1  ,  Stedman Energy Inc.  ,1999,0.00,1029.00,0.00,12, GD , 
   31-013-14497-00-00  ,  Crandall 568  ,  Greenway Energy LLC  ,1999,0.00,3271.00,12.00,12, GD , 
   31-013-13781-00-00  ,  Crandall 579  ,  Greenway Energy LLC  ,1999,0.00,1411.00,20.00,11, GD , 
   31-013-11342-00-00  ,  Crandall Unit 326 1  ,  Greenway Energy LLC  ,1999,0.00,873.00,13.00,12, GD , 
   31-013-19008-00-00  ,  Crandall; H 1  ,  Greenway Energy LLC  ,1999,0.00,1710.00,0.00,12, GD , 
   31-013-15812-00-00  ,  Crandall; M 1  ,  Greenway Energy LLC  ,1999,0.00,1342.00,0.00,12, GD , 
   31-013-11424-00-00  ,  Cranston 311  ,  Greenway Energy LLC  ,1999,0.00,2223.00,0.00,12, GD , 
   31-013-11296-00-00  ,  Cranston 312  ,  Greenway Energy LLC  ,1999,0.00,1103.00,0.00,12, GD , 
   31-013-11297-00-00  ,  Cranston 313  ,  Greenway Energy LLC  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-19352-00-00  ,  Cranston Drilling 3  ,  Universal Resources Holdings Inc.  ,1999,0.00,2437.00,0.00,12, GD , 
   31-013-11499-00-00  ,  Crawford 1  ,  Greenway Energy LLC  ,1999,0.00,1923.00,5.00,12, GD , 
   31-013-21895-00-00  ,  Crawford 6949  ,  Stedman Energy Inc.  ,1999,0.00,1843.00,16.00,10, GD , 
   31-037-21339-00-00  ,  Crawford; W & K 1  ,  United States Gypsum Company  ,1999,0.00,2387.00,0.00,12, GD , 
   31-029-69047-00-00  ,  Creek 1  ,  6566 Stevens Land Trust 1  ,1999,0.00,605.00,0.00,12, GD , 
   31-051-14450-00-00  ,  Cripps 44  ,  PXG Energy LLC  ,1999,0.00,826.00,0.00,12, GD , 
   31-029-04207-00-00  ,  Critoph Nurseries 1  ,  Seaport Natural Gas Co. Inc.  ,1999,0.00,875.00,0.00,12, GD , 
