   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-029-12350-00-00  ,  Smith & Lochte 1378  ,  PPP Future Development Inc.  ,2009,,45.00,0.00,12,Gas Development, 
   31-037-20577-00-00  ,  Smith (6801)  ,  PXG Energy LLC  ,2009,0.00,978.00,50.00,11,Gas Development, 
   31-003-55852-00-00  ,  Smith 001  ,  Unknown  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-55853-00-00  ,  Smith 002  ,  Smith Daniel E. Jr.  ,2009,29.00,,0.00,12,Oil Development, 
   31-003-55854-00-00  ,  Smith 003  ,  Unknown  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-55855-00-00  ,  Smith 004  ,  Unknown  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-66208-00-00  ,  Smith 019  ,  Lane Oil Company LLC  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-003-66207-00-00  ,  Smith 020  ,  Lane Oil Company LLC  ,2009,0.00,0.00,0.00,0,Oil Development, 
   31-009-16031-00-00  ,  Smith 1  ,  Adams Ronald D.  ,2009,0.00,895.00,0.00,12,Gas Development, 
   31-037-19526-00-00  ,  Smith 1 (6432)  ,  PXG Energy LLC  ,2009,0.00,515.00,50.00,12,Gas Development, 
   31-009-67649-00-00  ,  Smith 10  ,  Case Brothers Inc.  ,2009,54.00,0.00,6.00,12,Oil Development, 
   31-011-20603-00-00  ,  Smith 1053-2  ,  Greenway Energy LLC  ,2009,0.00,3068.00,241.00,12,Gas Development, 
   31-009-67650-00-00  ,  Smith 11  ,  Case Brothers Inc.  ,2009,54.00,0.00,6.00,12,Oil Development, 
   31-011-20666-00-00  ,  Smith 1106-1  ,  Greenway Energy LLC  ,2009,0.00,2054.00,441.00,10,Gas Development, 
   31-013-11625-00-00  ,  Smith 1245  ,  Greenway Energy LLC  ,2009,0.00,1001.00,0.00,12,Gas Development, 
   31-029-14910-00-00  ,  Smith 1250-I  ,  Seneca Resources Corporation  ,2009,0.00,421.00,0.00,12,Gas Development, 
   31-013-11642-00-00  ,  Smith 1251  ,  Greenway Energy LLC  ,2009,0.00,30.00,0.00,1,Gas Development, 
   31-009-15275-00-00  ,  Smith 13  ,  Case Brothers Inc.  ,2009,54.00,0.00,7.00,12,Oil Development, 
   31-009-15276-00-00  ,  Smith 14  ,  Case Brothers Inc.  ,2009,54.00,0.00,7.00,12,Oil Development, 
   31-013-12411-00-00  ,  Smith 1410  ,  Greenway Energy LLC  ,2009,0.00,638.00,0.00,11,Gas Development, 
   31-009-16537-00-00  ,  Smith 15  ,  Case Brothers Inc.  ,2009,54.00,0.00,7.00,12,Oil Development, 
   31-009-16556-00-00  ,  Smith 16  ,  Case Brothers Inc.  ,2009,54.00,0.00,7.00,12,Oil Development, 
   31-009-21985-00-00  ,  Smith 18  ,  Case Brothers Inc.  ,2009,54.00,0.00,6.00,12,Oil Development, 
   31-009-22099-00-00  ,  Smith 19  ,  Case Brothers Inc.  ,2009,54.00,0.00,7.00,12,Oil Development, 
   31-013-11133-00-00  ,  Smith 192  ,  Greenway Energy LLC  ,2009,0.00,777.00,0.00,12,Gas Development, 
   31-003-24651-00-00  ,  Smith 2  ,  Klein Oil & Logging  ,2009,67.00,0.00,4.00,12,Oil Development, 
   31-009-25995-00-00  ,  Smith 20  ,  Case Brothers Inc.  ,2009,0.00,0.00,0.00,0,Not Listed, 
   31-013-10955-00-00  ,  Smith 205  ,  Greenway Energy LLC  ,2009,0.00,672.00,0.00,9,Gas Development, 
   31-009-25996-00-00  ,  Smith 21  ,  Case Brothers Inc.  ,2009,0.00,0.00,0.00,0,Not Listed, 
   31-009-25043-00-00  ,  Smith 22  ,  Case Brothers Inc.  ,2009,800.00,0.00,60.00,12,Oil Development, 
   31-009-25044-00-00  ,  Smith 23  ,  Case Brothers Inc.  ,2009,500.00,0.00,20.00,12,Oil Development, 
   31-003-25031-00-00  ,  Smith 3  ,  Klein Oil & Logging  ,2009,67.00,0.00,4.00,12,Oil Development, 
   31-013-11595-00-00  ,  Smith 357  ,  PPP Future Development Inc.  ,2009,0.00,126.00,0.00,12,Gas Development, 
   31-013-11617-00-00  ,  Smith 360  ,  Greenway Energy LLC  ,2009,0.00,697.00,0.00,10,Gas Development, 
   31-003-65823-00-00  ,  Smith 4  ,  Collins Dave  ,2009,5.00,0.00,0.00,12,Oil Development, 
   31-053-23864-00-00  ,  Smith 4-496  ,  Greenway Energy LLC  ,2009,0.00,6042.00,380.00,12,Gas Development, 
   31-003-65824-00-00  ,  Smith 5  ,  Collins Dave  ,2009,5.00,0.00,0.00,12,Oil Development, 
