   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-15463-00-00  ,  Cederquist 1  ,  PPP Future Development Inc.  ,1991,0.00,63546.00,100.00,12, GD , 
   31-013-20280-00-00  ,  Cederquist 2  ,  PPP Future Development Inc.  ,1991,0.00,2742.00,295.00,0, GD , 
   31-099-21357-00-00  ,  Ch of Jesus Christ 1229  ,  Greenway Energy LLC  ,1991,0.00,9978.00,0.00,12, GD , 
   31-099-21384-00-00  ,  Ch of Jesus Christ 1248  ,  Greenway Energy LLC  ,1991,0.00,14047.00,0.00,12, GD , 
   31-009-17280-00-00  ,  Chadwick 1  ,  Greenway Energy LLC  ,1991,0.00,2912.00,0.00,10, GD , 
   31-013-11304-00-00  ,  Chadwick 282  ,  Greenway Energy LLC  ,1991,0.00,1420.00,0.00,12, GD , 
   31-013-11355-00-00  ,  Chadwick 283  ,  Greenway Energy LLC  ,1991,0.00,2795.00,0.00,12, GD , 
   31-121-14178-00-00  ,  Chaffee; W 1  ,  PPP Future Development Inc.  ,1991,0.00,2112.00,0.00,12, GD , 
   31-121-21946-00-00  ,  Chamberlain; B 1  ,  PXG Energy LLC  ,1991,0.00,17777.00,80.00,9, GD , 
   31-121-21907-00-00  ,  Chamberlain; D 2  ,  PXG Energy LLC  ,1991,0.00,1248.00,70.00,6, GD , 
   31-121-22053-00-00  ,  Chamberlain; P 2  ,  Miller Gas Corp.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-17270-00-00  ,  Chambers Unit 1  ,  Stedman Energy Inc.  ,1991,0.00,2035.00,20.00,12, GD , 
   31-013-13708-00-00  ,  Chant 1  ,  PPP Future Development Inc.  ,1991,0.00,3633.00,8.00,11, GD , 
   31-013-13709-00-00  ,  Chant 2  ,  PPP Future Development Inc.  ,1991,0.00,1365.00,0.00,6, GD , 
   31-051-17363-00-00  ,  Chapman 149  ,  PXG Energy LLC  ,1991,0.00,1101.00,130.00,12, GD , 
   31-029-18017-00-00  ,  Chapman No 1  ,  Weil Resources Inc.  ,1991,0.00,119.00,0.00,0, GD , 
   31-009-17072-00-00  ,  Chapman; J 1  ,  Greenway Energy LLC  ,1991,0.00,606.00,0.00,12, GD , 
   31-011-19664-00-00  ,  Chappell 1 (433-2)  ,  Greenway Energy LLC  ,1991,0.00,3657.00,0.00,12, GD , 
   31-011-19634-00-00  ,  Chappell 1 415-1  ,  Greenway Energy LLC  ,1991,0.00,3657.00,0.00,12, GD , 
   31-011-19652-00-00  ,  Chappell 416-1  ,  Meridian Exploration Corp.  ,1991,0.00,538.00,0.00,6, GD , 
   31-011-19653-00-00  ,  Chappell 417-2  ,  Meridian Exploration Corp.  ,1991,0.00,538.00,0.00,6, GD , 
   31-011-19666-00-00  ,  Chappell 431-3  ,  Meridian Exploration Corp.  ,1991,0.00,538.00,0.00,6, GD , 
   31-029-19880-00-00  ,  Charles A. Richmond 1  ,  Stedman Energy Inc.  ,1991,0.00,963.00,10.00,5, GD , 
   31-029-19847-00-00  ,  Charles A. Richmond 1-A  ,  Stedman Energy Inc.  ,1991,0.00,424.00,4.00,3, GD , 
   31-013-20035-00-00  ,  Charles Avery 1  ,  Shelex Drilling Inc.  ,1991,0.00,12211.00,0.00,12, GD , 
   31-013-19729-00-00  ,  Charles H. Carlson 1 1  ,  PPP Future Development Inc.  ,1991,0.00,1692.00,0.00,10, GD , 
   31-013-18347-00-00  ,  Charles Peterson 1  ,  PPP Future Development Inc.  ,1991,0.00,3531.00,0.00,10, GD , 
   31-069-02873-00-00  ,  Charlton 1811  ,  Spike David C. and Arlene M.  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-18012-00-00  ,  Charrington Creek 3  ,  Stedman Energy Inc.  ,1991,0.00,495.00,0.00,3, GD , 
   31-013-17994-00-00  ,  Charrington Creek 4  ,  Stedman Energy Inc.  ,1991,0.00,100.00,0.00,12, GD , 
   31-013-17963-00-00  ,  Charrington Creek 5  ,  Stedman Energy Inc.  ,1991,0.00,2813.00,0.00,12, GD , 
   31-013-16968-00-00  ,  Chase 2  ,  PPP Future Development Inc.  ,1991,1204.00,1204.00,0.00,8, GD , 
   31-013-12514-00-00  ,  Chase NY 46  ,  PPP Future Development Inc.  ,1991,7340.00,7340.00,0.00,8, GD , 
   31-013-11477-00-00  ,  Chaut Forest Prod 202  ,  Greenway Energy LLC  ,1991,0.00,779.00,17.00,12, GD , 
   31-013-15200-00-00  ,  Chaut Snowmobile 1  ,  Greenway Energy LLC  ,1991,0.00,1540.00,55.00,11, GD , 
   31-013-12392-00-00  ,  Chaut. Co. Fair 1406  ,  Greenway Energy LLC  ,1991,0.00,2242.00,22.00,12, GD , 
   31-013-14818-00-00  ,  Chaut. Forest Prod. 588  ,  Greenway Energy LLC  ,1991,0.00,1694.00,63.00,12, GD , 
