   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-18252-00-00  ,  Clark; R 2  ,  Greenway Energy LLC  ,1988,0.00,7620.00,0.00,12, GD , 
   31-013-18242-00-00  ,  Clark;R 1  ,  Texas Meridian Operating Co.  ,1988,0.00,0.00,0.00,0, GD , 
   31-037-15881-00-00  ,  Clarke 1  ,  United States Gypsum Company  ,1988,0.00,2558.00,0.00,12, GD , 
   31-013-20925-00-00  ,  Claypoole 1  ,  Greenway Energy LLC  ,1988,0.00,38362.00,60.00,12, GD , 
   31-013-20926-00-00  ,  Claypoole 2  ,  Greenway Energy LLC  ,1988,0.00,28526.00,60.00,11, GD , 
   31-099-20431-00-00  ,  Clemens 1 (4171)  ,  Greenway Energy LLC  ,1988,0.00,17574.00,0.00,12, GD , 
   31-013-17770-00-00  ,  Clemente 2  ,  PPP Future Development Inc.  ,1988,0.00,1211.00,0.00,10, GD , 
   31-013-15751-00-00  ,  Clemente NY 28  ,  PPP Future Development Inc.  ,1988,0.00,785.00,0.00,10, GD , 
   31-013-10534-00-00  ,  Cliffstar (Polvino) 2  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-10958-00-00  ,  Cliffstar-Gatto 1  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-10527-00-00  ,  Cliffstar-Leone 1135  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-10660-00-00  ,  Cliffstar-Stanton 1  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-19999-00-00  ,  Closs 1  ,  Weil Resources Inc.  ,1988,0.00,6320.00,0.00,12, GD , 
   31-029-20838-00-00  ,  Closs 2  ,  Weil Resources Inc.  ,1988,0.00,9423.00,15.00,12, GD , 
   31-013-11882-00-00  ,  Clough 405  ,  Greenway Energy LLC  ,1988,0.00,1777.00,26.00,12, GD , 
   31-013-14549-00-00  ,  Clute 586  ,  Greenway Energy LLC  ,1988,0.00,4149.00,126.00,11, GD , 
   31-013-19124-00-00  ,  Clymer Central Sch. 1  ,  Clymer Central School District  ,1988,0.00,5753.00,0.00,12, GD , 
   31-013-11683-00-00  ,  Cobb 1270  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-17942-00-00  ,  Cobb; R 1  ,  Greenway Energy LLC  ,1988,0.00,1526.00,0.00,12, GD , 
   31-029-16002-00-00  ,  Coca-Cola 1  ,  Abarta Oil & Gas Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-17847-00-00  ,  Cochran 670  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,958.00,50.00,11, GD , 
   31-013-16974-00-00  ,  Cochran; J 1  ,  Greenway Energy LLC  ,1988,0.00,6986.00,62.00,12, GD , 
   31-013-14356-00-00  ,  Cochrane; I 2  ,  Greenway Energy LLC  ,1988,0.00,6375.00,75.00,12, GD , 
   31-013-11431-00-00  ,  Coe 314  ,  Greenway Energy LLC  ,1988,0.00,2075.00,17.00,12, GD , 
   31-013-16443-00-00  ,  Coe; D.S.NY-0003  ,  PPP Future Development Inc.  ,1988,0.00,2443.00,0.00,9, GD , 
   31-013-20217-00-00  ,  Colander/Johnson 1-334  ,  K. Petroleum Inc.  ,1988,0.00,15166.00,145.00,12, GD , 
   31-013-20201-00-00  ,  Colander/Johnson 2-335  ,  K. Petroleum Inc.  ,1988,0.00,60724.00,75.00,12, GD , 
   31-029-15401-00-00  ,  Colarusso 846  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,711.00,0.00,9, GD , 
   31-029-15402-00-00  ,  Colarusso 849  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,1394.00,0.00,9, GD , 
   31-029-10836-00-00  ,  Colby 1  ,  Summers Esther B.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-19925-00-00  ,  Cold Spring Constr. 1  ,  Greenway Energy LLC  ,1988,0.00,34909.00,0.00,12, GD , 
   31-013-20876-00-00  ,  Cold Spring Constr. 2  ,  Greenway Energy LLC  ,1988,0.00,91888.00,0.00,10, GD , 
   31-013-17800-00-00  ,  Cole; R 1  ,  Greenway Energy LLC  ,1988,0.00,5072.00,0.00,12, GD , 
   31-013-14775-00-00  ,  Coleman; H 1  ,  Greenway Energy LLC  ,1988,0.00,5277.00,175.00,12, GD , 
   31-013-14779-00-00  ,  Coleman; H 3  ,  Greenway Energy LLC  ,1988,0.00,11762.00,240.00,12, GD , 
   31-013-20763-00-00  ,  Coleman; H 4  ,  Greenway Energy LLC  ,1988,0.00,20696.00,96.00,12, GD , 
   31-013-15457-00-00  ,  Colgrove 1-A  ,  Stedman Energy Inc.  ,1988,0.00,1876.00,0.00,9, GD , 
   31-029-20018-00-00  ,  Colosanti; C 1  ,  Alden Aurora Gas Company Inc.  ,1988,0.00,2151.00,19.00,12, GD , 
   31-013-10109-00-00  ,  Colt Alvin 1  ,  Greenway Energy LLC  ,1988,0.00,5779.00,0.00,12, GD , 
